0 5.54663 0
1 5.49142 0.0552103
2 5.47778 0.0346716
3 5.46923 0.0259653
4 5.47459 0.0208141
5 5.46959 0.0177152
6 5.45484 0.0210169
7 5.43356 0.0280021
8 5.44227 0.0261856
9 5.44982 0.0246084
10 5.44945 0.0222622
11 5.44547 0.020708
12 5.45003 0.0195864
13 5.45731 0.019542
14 5.44324 0.0230012
15 5.45234 0.0233602
16 5.45453 0.022052
17 5.44862 0.0216139
18 5.46001 0.0234056
19 5.46884 0.0238944
20 5.47306 0.0231166
21 5.47323 0.0220414
22 5.47321 0.0210613
23 5.47268 0.0201718
24 5.4642 0.0211259
25 5.46636 0.0204119
26 5.46709 0.0196549
27 5.46532 0.0190224
28 5.46332 0.0184628
29 5.45962 0.0182178
30 5.45494 0.0182312
31 5.45335 0.0177235
32 5.45529 0.0172876
33 5.45354 0.016863
34 5.45139 0.016515
35 5.45801 0.0173627
36 5.45863 0.0168981
37 5.45866 0.0164475
38 5.46066 0.0161442
39 5.46805 0.0173849
40 5.46901 0.0169828
41 5.46631 0.0167923
42 5.4642 0.016533
43 5.46287 0.0162068
44 5.46021 0.0160645
45 5.46308 0.0159703
46 5.46186 0.0156741
47 5.46021 0.0154327
48 5.45885 0.0151753
49 5.45842 0.0148751
50 5.45762 0.014602
51 5.45707 0.0143292
52 5.45714 0.0140564
53 5.45562 0.0138764
54 5.45732 0.0137268
55 5.45743 0.01348
56 5.45748 0.0132414
57 5.45792 0.0130185
58 5.45493 0.0131414
59 5.45425 0.0129379
60 5.45243 0.0128543
61 5.4503 0.0128227
62 5.44941 0.012649
63 5.44916 0.0124523
64 5.45043 0.0123244
65 5.45155 0.012188
66 5.45075 0.0120314
67 5.45114 0.0118596
68 5.44947 0.011805
69 5.44834 0.01169
70 5.44951 0.0115835
71 5.4475 0.0115966
72 5.44456 0.0118091
73 5.4459 0.0117247
74 5.44647 0.0115816
75 5.4459 0.0114424
76 5.44412 0.0114329
77 5.44408 0.0112854
78 5.44491 0.0111724
79 5.44618 0.0111043
80 5.4471 0.0110054
81 5.4455 0.0109877
82 5.44556 0.0108547
83 5.44729 0.0108638
84 5.44829 0.0107811
85 5.44771 0.0106704
86 5.44773 0.010547
87 5.44836 0.0104456
88 5.44866 0.0103319
89 5.44726 0.0103124
90 5.44509 0.0104264
91 5.4454 0.0103171
92 5.44736 0.0103933
93 5.44675 0.0103006
94 5.44899 0.0104349
95 5.44884 0.0103267
96 5.44911 0.0102231
97 5.44858 0.0101322
98 5.44956 0.0100776
99 5.45104 0.0100862
